Year,Area,Main type of activity,Level of education,Population 31 Dec
2004,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2474
2004,MK18 Kainuu,Employed,Total,29357
2004,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2045
2004,MK18 Kainuu,Unemployed,Total,7271
2004,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,85
2004,MK19 Lapland,Total,Total,186443
2004,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6006
2004,MK19 Lapland,Employed,Total,69954
2004,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4920
2004,MK19 Lapland,Unemployed,Total,15201
2004,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,207
2004,MK21 Åland,Total,Total,26530
2004,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,869
2004,MK21 Åland,Employed,Total,13114
2004,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,680
2004,MK21 Åland,Unemployed,Total,355
2004,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,16
2005,MK01 Uusimaa,Total,Total,1452083
2005,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,140634
2005,MK01 Uusimaa,Employed,Total,708218
2005,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,111473
2005,MK01 Uusimaa,Unemployed,Total,59925
2005,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,4089
2005,MK02 Southwest Finland,Total,Total,455584
2005,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,26674
2005,MK02 Southwest Finland,Employed,Total,202116
2005,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,20828
2005,MK02 Southwest Finland,Unemployed,Total,19957
2005,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,966
2005,MK05 Kanta-Häme,Total,Total,168381
2005,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6911
2005,MK05 Kanta-Häme,Employed,Total,72551
2005,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5381
2005,MK05 Kanta-Häme,Unemployed,Total,8376
2005,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,149
2005,MK07 Päijät-Häme,Total,Total,206240
2005,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7297
2005,MK07 Päijät-Häme,Employed,Total,85006
2005,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5615
2005,MK07 Päijät-Häme,Unemployed,Total,13679
2005,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,217
2005,MK08 Kymenlaakso,Total,Total,177931
2005,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5850
2005,MK08 Kymenlaakso,Employed,Total,72133
2005,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4439
2005,MK08 Kymenlaakso,Unemployed,Total,10911
2005,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,151
2005,MK09 South Karelia,Total,Total,134786
2005,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5305
2005,MK09 South Karelia,Employed,Total,53332
2005,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4157
2005,MK09 South Karelia,Unemployed,Total,8958
2005,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,223
2005,MK04 Satakunta,Total,Total,228675
2005,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7406
2005,MK04 Satakunta,Employed,Total,92690
2005,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5942
2005,MK04 Satakunta,Unemployed,Total,14591
2005,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,214
2005,MK06 Pirkanmaa,Total,Total,471409
2005,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,28344
2005,MK06 Pirkanmaa,Employed,Total,204228
2005,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,23010
2005,MK06 Pirkanmaa,Unemployed,Total,26986
2005,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1085
2005,MK13 Central Finland,Total,Total,266770
2005,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,13931
2005,MK13 Central Finland,Employed,Total,106343
2005,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,10969
2005,MK13 Central Finland,Unemployed,Total,17714
2005,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,660
2005,MK14 South Ostrobothnia,Total,Total,198856
2005,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5375
2005,MK14 South Ostrobothnia,Employed,Total,81257
2005,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4446
2005,MK14 South Ostrobothnia,Unemployed,Total,8956
2005,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,119
2005,MK15 Ostrobothnia,Total,Total,168583
2005,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7706
2005,MK15 Ostrobothnia,Employed,Total,73949
2005,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6439
2005,MK15 Ostrobothnia,Unemployed,Total,6157
2005,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,201
2005,MK10 South Savo,Total,Total,151395
2005,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5121
2005,MK10 South Savo,Employed,Total,57436
2005,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,3923
2005,MK10 South Savo,Unemployed,Total,9649
2005,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,163
2005,MK11 North Savo,Total,Total,255683
2005,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10498
2005,MK11 North Savo,Employed,Total,99520
2005,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8560
2005,MK11 North Savo,Unemployed,Total,15545
2005,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,305
2005,MK12 North Karelia,Total,Total,172633
2005,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6729
2005,MK12 North Karelia,Employed,Total,64254
2005,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5215
2005,MK12 North Karelia,Unemployed,Total,12969
2005,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,366
2005,MK16 Central Ostrobothnia,Total,Total,67612
2005,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2057
2005,MK16 Central Ostrobothnia,Employed,Total,27548
2005,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1722
2005,MK16 Central Ostrobothnia,Unemployed,Total,3455
2005,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,44
2005,MK17 North Ostrobothnia,Total,Total,384808
2005,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,19294
2005,MK17 North Ostrobothnia,Employed,Total,153016
2005,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,16170
2005,MK17 North Ostrobothnia,Unemployed,Total,23510
2005,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,705
2005,MK18 Kainuu,Total,Total,81585
2005,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2548
2005,MK18 Kainuu,Employed,Total,28958
2005,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2069
2005,MK18 Kainuu,Unemployed,Total,7143
2005,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,99
2005,MK19 Lapland,Total,Total,185800
2005,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6226
2005,MK19 Lapland,Employed,Total,69421
2005,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5066
2005,MK19 Lapland,Unemployed,Total,14721
2005,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,224
2005,MK21 Åland,Total,Total,26766
2005,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,910
2005,MK21 Åland,Employed,Total,13235
2005,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,711
2005,MK21 Åland,Unemployed,Total,333
2005,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,10
2006,MK01 Uusimaa,Total,Total,1467453
2006,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,146033
2006,MK01 Uusimaa,Employed,Total,724005
2006,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,116015
2006,MK01 Uusimaa,Unemployed,Total,52892
2006,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,3981
2006,MK02 Southwest Finland,Total,Total,457789
2006,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,27648
2006,MK02 Southwest Finland,Employed,Total,206267
2006,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,21581
2006,MK02 Southwest Finland,Unemployed,Total,17609
2006,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,959
2006,MK05 Kanta-Häme,Total,Total,169952
2006,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7199
2006,MK05 Kanta-Häme,Employed,Total,74719
2006,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5596
2006,MK05 Kanta-Häme,Unemployed,Total,7277
2006,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,177
2006,MK07 Päijät-Häme,Total,Total,206481
2006,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7627
2006,MK07 Päijät-Häme,Employed,Total,86407
2006,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5880
2006,MK07 Päijät-Häme,Unemployed,Total,12144
2006,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,233
2006,MK08 Kymenlaakso,Total,Total,176995
2006,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6030
2006,MK08 Kymenlaakso,Employed,Total,72497
2006,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4594
2006,MK08 Kymenlaakso,Unemployed,Total,9847
2006,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,151
2006,MK09 South Karelia,Total,Total,134441
2006,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5483
2006,MK09 South Karelia,Employed,Total,53854
2006,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4299
2006,MK09 South Karelia,Unemployed,Total,8103
2006,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,187
2006,MK04 Satakunta,Total,Total,228051
2006,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7665
2006,MK04 Satakunta,Employed,Total,94139
2006,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6140
2006,MK04 Satakunta,Unemployed,Total,12529
2006,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,220
2006,MK06 Pirkanmaa,Total,Total,476221
2006,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,29851
2006,MK06 Pirkanmaa,Employed,Total,210915
2006,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,24157
2006,MK06 Pirkanmaa,Unemployed,Total,22980
2006,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1056
2006,MK13 Central Finland,Total,Total,266905
2006,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,14382
2006,MK13 Central Finland,Employed,Total,108687
2006,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,11327
2006,MK13 Central Finland,Unemployed,Total,15942
2006,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,660
2006,MK14 South Ostrobothnia,Total,Total,198626
2006,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5618
2006,MK14 South Ostrobothnia,Employed,Total,82977
2006,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4659
2006,MK14 South Ostrobothnia,Unemployed,Total,7689
2006,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,119
2006,MK15 Ostrobothnia,Total,Total,169170
2006,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8118
2006,MK15 Ostrobothnia,Employed,Total,75671
2006,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6795
2006,MK15 Ostrobothnia,Unemployed,Total,5178
2006,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,187
2006,MK10 South Savo,Total,Total,150471
2006,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5273
2006,MK10 South Savo,Employed,Total,58624
2006,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4030
2006,MK10 South Savo,Unemployed,Total,8234
2006,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,140
2006,MK11 North Savo,Total,Total,255094
2006,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,10945
2006,MK11 North Savo,Employed,Total,101174
2006,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,8879
2006,MK11 North Savo,Unemployed,Total,13718
2006,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,311
2006,MK12 North Karelia,Total,Total,171758
2006,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6933
2006,MK12 North Karelia,Employed,Total,64889
2006,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5397
2006,MK12 North Karelia,Unemployed,Total,11675
2006,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,327
2006,MK16 Central Ostrobothnia,Total,Total,67632
2006,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2140
2006,MK16 Central Ostrobothnia,Employed,Total,28271
2006,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1793
2006,MK16 Central Ostrobothnia,Unemployed,Total,2821
2006,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,33
2006,MK17 North Ostrobothnia,Total,Total,387320
2006,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,20191
2006,MK17 North Ostrobothnia,Employed,Total,157092
2006,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,16867
2006,MK17 North Ostrobothnia,Unemployed,Total,20390
2006,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,711
2006,MK18 Kainuu,Total,Total,80738
2006,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2670
2006,MK18 Kainuu,Employed,Total,29435
2006,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2185
2006,MK18 Kainuu,Unemployed,Total,6340
2006,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,83
2006,MK19 Lapland,Total,Total,184935
2006,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6482
2006,MK19 Lapland,Employed,Total,70751
2006,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5205
2006,MK19 Lapland,Unemployed,Total,13057
2006,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,242
2006,MK21 Åland,Total,Total,26923
2006,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,951
2006,MK21 Åland,Employed,Total,13414
2006,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,726
2006,MK21 Åland,Unemployed,Total,334
2006,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,11
2007,MK01 Uusimaa,Total,Total,1483719
2007,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,151814
2007,MK01 Uusimaa,Employed,Total,746138
2007,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,121117
2007,MK01 Uusimaa,Unemployed,Total,44087
2007,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,3521
2007,MK02 Southwest Finland,Total,Total,459235
2007,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,28644
2007,MK02 Southwest Finland,Employed,Total,210149
2007,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,22223
2007,MK02 Southwest Finland,Unemployed,Total,15419
2007,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,967
2007,MK05 Kanta-Häme,Total,Total,171449
2007,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7535
2007,MK05 Kanta-Häme,Employed,Total,76891
2007,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5852
2007,MK05 Kanta-Häme,Unemployed,Total,6353
2007,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,162
2007,MK07 Päijät-Häme,Total,Total,207269
2007,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7953
2007,MK07 Päijät-Häme,Employed,Total,89003
2007,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6091
2007,MK07 Päijät-Häme,Unemployed,Total,10357
2007,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,205
2007,MK08 Kymenlaakso,Total,Total,176356
2007,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6240
2007,MK08 Kymenlaakso,Employed,Total,73237
2007,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4701
2007,MK08 Kymenlaakso,Unemployed,Total,8741
2007,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,153
2007,MK09 South Karelia,Total,Total,133899
2007,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5662
2007,MK09 South Karelia,Employed,Total,54626
2007,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4442
2007,MK09 South Karelia,Unemployed,Total,7201
2007,MK09 South Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,182
2007,MK04 Satakunta,Total,Total,227131
2007,MK04 Satakunta,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7925
2007,MK04 Satakunta,Employed,Total,95855
2007,MK04 Satakunta,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6320
2007,MK04 Satakunta,Unemployed,Total,10790
2007,MK04 Satakunta,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,188
2007,MK06 Pirkanmaa,Total,Total,480634
2007,MK06 Pirkanmaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,31295
2007,MK06 Pirkanmaa,Employed,Total,216446
2007,MK06 Pirkanmaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,25403
2007,MK06 Pirkanmaa,Unemployed,Total,21092
2007,MK06 Pirkanmaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1070
2007,MK13 Central Finland,Total,Total,267998
2007,MK13 Central Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,14985
2007,MK13 Central Finland,Employed,Total,110990
2007,MK13 Central Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,11719
2007,MK13 Central Finland,Unemployed,Total,14514
2007,MK13 Central Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,679
2007,MK14 South Ostrobothnia,Total,Total,198831
2007,MK14 South Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5863
2007,MK14 South Ostrobothnia,Employed,Total,84346
2007,MK14 South Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4837
2007,MK14 South Ostrobothnia,Unemployed,Total,6967
2007,MK14 South Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,136
2007,MK15 Ostrobothnia,Total,Total,169971
2007,MK15 Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8540
2007,MK15 Ostrobothnia,Employed,Total,77749
2007,MK15 Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,7134
2007,MK15 Ostrobothnia,Unemployed,Total,4344
2007,MK15 Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,204
2007,MK10 South Savo,Total,Total,149032
2007,MK10 South Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5400
2007,MK10 South Savo,Employed,Total,59154
2007,MK10 South Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4118
2007,MK10 South Savo,Unemployed,Total,7310
2007,MK10 South Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,164
2007,MK11 North Savo,Total,Total,254367
2007,MK11 North Savo,Total,7-8 Master's or equivalent level or doctoral or equivalent level,11369
2007,MK11 North Savo,Employed,Total,103217
2007,MK11 North Savo,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,9207
2007,MK11 North Savo,Unemployed,Total,12424
2007,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,331
2007,MK12 North Karelia,Total,Total,170896
2007,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7180
2007,MK12 North Karelia,Employed,Total,65487
2007,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5546
2007,MK12 North Karelia,Unemployed,Total,11314
2007,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,363
2007,MK16 Central Ostrobothnia,Total,Total,67898
2007,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2242
2007,MK16 Central Ostrobothnia,Employed,Total,28991
2007,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1878
2007,MK16 Central Ostrobothnia,Unemployed,Total,2356
2007,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,40
2007,MK17 North Ostrobothnia,Total,Total,390038
2007,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,21082
2007,MK17 North Ostrobothnia,Employed,Total,160658
2007,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,17575
2007,MK17 North Ostrobothnia,Unemployed,Total,18558
2007,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,739
2007,MK18 Kainuu,Total,Total,80218
2007,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,2758
2007,MK18 Kainuu,Employed,Total,30177
2007,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2235
2007,MK18 Kainuu,Unemployed,Total,5306
2007,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,83
2007,MK19 Lapland,Total,Total,184390
2007,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6722
2007,MK19 Lapland,Employed,Total,72388
2007,MK19 Lapland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,5422
2007,MK19 Lapland,Unemployed,Total,11230
2007,MK19 Lapland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,249
2007,MK21 Åland,Total,Total,27153
2007,MK21 Åland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,994
2007,MK21 Åland,Employed,Total,13564
2007,MK21 Åland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,778
2007,MK21 Åland,Unemployed,Total,310
2007,MK21 Åland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,10
2008,MK01 Uusimaa,Total,Total,1501511
2008,MK01 Uusimaa,Total,7-8 Master's or equivalent level or doctoral or equivalent level,161136
2008,MK01 Uusimaa,Employed,Total,757618
2008,MK01 Uusimaa,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,128814
2008,MK01 Uusimaa,Unemployed,Total,45445
2008,MK01 Uusimaa,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,3843
2008,MK02 Southwest Finland,Total,Total,461177
2008,MK02 Southwest Finland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,30322
2008,MK02 Southwest Finland,Employed,Total,210161
2008,MK02 Southwest Finland,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,23533
2008,MK02 Southwest Finland,Unemployed,Total,16744
2008,MK02 Southwest Finland,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,1026
2008,MK05 Kanta-Häme,Total,Total,173041
2008,MK05 Kanta-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7990
2008,MK05 Kanta-Häme,Employed,Total,76755
2008,MK05 Kanta-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6212
2008,MK05 Kanta-Häme,Unemployed,Total,7286
2008,MK05 Kanta-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,164
2008,MK07 Päijät-Häme,Total,Total,207940
2008,MK07 Päijät-Häme,Total,7-8 Master's or equivalent level or doctoral or equivalent level,8412
2008,MK07 Päijät-Häme,Employed,Total,88578
2008,MK07 Päijät-Häme,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6458
2008,MK07 Päijät-Häme,Unemployed,Total,11131
2008,MK07 Päijät-Häme,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,244
2008,MK08 Kymenlaakso,Total,Total,175661
2008,MK08 Kymenlaakso,Total,7-8 Master's or equivalent level or doctoral or equivalent level,6511
2008,MK08 Kymenlaakso,Employed,Total,72254
2008,MK08 Kymenlaakso,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4885
2008,MK08 Kymenlaakso,Unemployed,Total,9206
2008,MK08 Kymenlaakso,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,161
2008,MK09 South Karelia,Total,Total,133647
2008,MK09 South Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,5962
2008,MK09 South Karelia,Employed,Total,54331
2008,MK09 South Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,4627
