Year,Area,Main type of activity,Level of education,Population 31 Dec
1988,MK11 North Savo,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,35
1988,MK12 North Karelia,Total,Total,181648
1988,MK12 North Karelia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3159
1988,MK12 North Karelia,Employed,Total,76199
1988,MK12 North Karelia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,2656
1988,MK12 North Karelia,Unemployed,Total,7468
1988,MK12 North Karelia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,39
1988,MK16 Central Ostrobothnia,Total,Total,67849
1988,MK16 Central Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,913
1988,MK16 Central Ostrobothnia,Employed,Total,29730
1988,MK16 Central Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,809
1988,MK16 Central Ostrobothnia,Unemployed,Total,1806
1988,MK16 Central Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,8
1988,MK17 North Ostrobothnia,Total,Total,345407
1988,MK17 North Ostrobothnia,Total,7-8 Master's or equivalent level or doctoral or equivalent level,7508
1988,MK17 North Ostrobothnia,Employed,Total,148251
1988,MK17 North Ostrobothnia,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,6525
1988,MK17 North Ostrobothnia,Unemployed,Total,11597
1988,MK17 North Ostrobothnia,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,103
1988,MK18 Kainuu,Total,Total,92775
1988,MK18 Kainuu,Total,7-8 Master's or equivalent level or doctoral or equivalent level,1462
1988,MK18 Kainuu,Employed,Total,38255
1988,MK18 Kainuu,Employed,7-8 Master's or equivalent level or doctoral or equivalent level,1292
1988,MK18 Kainuu,Unemployed,Total,4807
1988,MK18 Kainuu,Unemployed,7-8 Master's or equivalent level or doctoral or equivalent level,17
1988,MK19 Lapland,Total,Total,199841
1988,MK19 Lapland,Total,7-8 Master's or equivalent level or doctoral or equivalent level,3456
